tamanno,it_milis,dyv_milis
1,5,5
11,5,4
21,5,6
31,4,3
41,5,4
51,4,7
61,5,4
71,5,4
81,4,4
91,4,3
101,4,6
111,4,3
121,5,3
131,4,4
141,6,4
151,5,3
161,4,4
171,5,5
181,9,5
191,4,5
201,4,4
211,4,3
221,4,4
231,3,4
241,4,4
251,5,6
261,6,4
271,3,4
281,4,3
291,3,4
301,4,3
311,4,7
321,5,5
331,4,3
341,9,6
351,3,3
361,3,4
371,5,4
381,5,5
391,4,4
401,4,4
411,5,6
421,3,3
431,4,4
441,4,6
451,8,5
461,6,5
471,4,3
481,3,3
491,4,4
501,4,4
511,6,4
521,5,4
531,4,4
541,6,4
551,4,4
561,3,4
571,3,5
581,5,5
591,5,3
601,6,4
611,4,3
621,4,5
631,3,3
641,4,3
651,5,3
661,4,3
671,3,4
681,4,6
691,5,5
701,4,3
711,3,3
721,3,3
731,3,5
741,3,3
751,4,3
761,5,3
771,4,4
781,4,5
791,3,5
801,4,5
811,3,5
821,4,6
831,4,6
841,5,4
851,5,5
861,4,3
871,3,5
881,4,5
891,3,4
901,4,5
911,3,5
921,3,4
931,3,5
941,4,4
951,4,8
961,5,4
971,4,4
981,3,5
991,3,6
1001,4,4
1011,3,4
1021,3,3
1031,3,3
1041,3,3
1051,4,4
1061,4,3
1071,3,3
1081,4,10
1091,3,6
1101,3,4
1111,4,6
1121,5,3
1131,3,5
1141,4,6
1151,4,5
1161,4,5
1171,3,5
1181,4,4
1191,3,3
1201,3,5
1211,3,6
1221,5,4
1231,4,4
1241,3,5
1251,3,4
1261,4,6
1271,6,5
1281,3,3
1291,3,3
1301,3,3
1311,4,4
1321,4,5
1331,4,5
1341,3,3
1351,4,3
1361,3,3
1371,3,3
1381,3,3
1391,4,3
1401,3,3
1411,3,3
1421,3,4
1431,3,3
1441,4,3
1451,4,4
1461,3,5
1471,3,3
1481,3,4
1491,3,3
1501,4,3
1511,3,5
1521,4,3
1531,3,4
1541,3,3
1551,3,3
1561,3,4
1571,4,3
1581,5,7
1591,4,4
1601,4,5
1611,3,5
1621,4,6
1631,6,4
1641,4,4
1651,4,5
1661,3,4
1671,3,5
1681,4,6
1691,4,6
1701,7,5
1711,6,5
1721,4,3
1731,4,3
1741,4,3
1751,3,4
1761,3,3
1771,3,4
1781,3,4
1791,3,3
1801,4,4
1811,3,4
1821,5,5
1831,4,5
1841,3,6
1851,3,5
1861,4,4
1871,5,4
1881,5,3
1891,4,4
1901,4,3
1911,5,4
1921,4,4
1931,3,3
1941,4,7
1951,6,4
1961,5,4
1971,4,3
1981,3,4
1991,3,4
2001,3,4
2011,4,3
2021,3,4
2031,3,3
2041,4,3
2051,3,4
2061,3,5
2071,3,5
2081,4,7
2091,5,4
2101,4,4
2111,4,4
2121,3,4
2131,3,4
2141,4,5
2151,3,5
2161,4,5
2171,4,6
2181,5,5
2191,5,4
2201,4,4
2211,4,3
2221,3,4
2231,3,3
2241,4,4
2251,4,4
2261,3,4
2271,4,4
2281,4,4
2291,6,4
2301,5,4
2311,4,3
2321,4,4
2331,3,4
2341,3,3
2351,3,3
2361,4,4
2371,3,3
2381,3,4
2391,3,5
2401,4,4
2411,3,6
2421,6,7
2431,4,4
2441,3,3
2451,3,5
2461,4,4
2471,4,6
2481,3,5
2491,4,6
2501,5,4
2511,6,3
2521,5,4
2531,4,5
2541,4,6
2551,4,5
2561,3,6
2571,4,6
2581,6,3
2591,4,4
2601,3,4
2611,3,3
2621,3,3
2631,3,4
2641,4,4
2651,4,6
2661,5,4
2671,5,4
2681,5,4
2691,5,4
2701,5,4
2711,6,4
2721,5,4
2731,5,4
2741,4,4
2751,5,4
2761,5,4
2771,7,4
2781,3,4
2791,4,4
2801,4,4
2811,3,4
2821,3,4
2831,3,4
2841,3,4
2851,3,5
2861,4,6
2871,4,6
2881,6,5
2891,4,3
2901,3,4
2911,3,5
2921,3,5
2931,4,4
2941,3,4
2951,4,5
2961,7,5
2971,6,5
2981,4,5
2991,12,12
3001,6,6
3011,4,6
3021,4,5
3031,4,5
3041,4,6
3051,5,5
3061,5,4
3071,5,4
3081,4,4
3091,3,4
3101,3,4
3111,5,5
3121,4,5
3131,5,5
3141,5,3
3151,4,4
3161,4,4
3171,4,4
3181,4,4
3191,4,6
3201,4,6
3211,3,5
3221,5,5
3231,7,5
3241,5,7
3251,5,5
3261,5,4
3271,5,3
3281,4,4
3291,4,4
3301,5,4
3311,3,7
3321,3,6
3331,5,4
3341,4,4
3351,4,4
3361,4,5
3371,4,5
3381,4,5
3391,5,6
3401,6,4
3411,5,4
3421,5,5
3431,5,6
3441,7,7
3451,4,7
3461,7,6
3471,4,4
3481,3,3
3491,4,4
3501,4,6
3511,6,7
3521,4,6
3531,4,7
3541,5,5
3551,4,5
3561,10,10
3571,5,5
3581,3,6
3591,4,5
3601,4,6
3611,5,5
3621,4,5
3631,6,4
3641,5,4
3651,3,4
3661,6,6
3671,6,5
3681,5,4
3691,4,4
3701,5,4
3711,4,4
3721,5,5
3731,3,5
3741,4,5
3751,3,5
3761,7,4
3771,3,5
3781,4,4
3791,4,7
3801,4,7
3811,5,5
3821,4,5
3831,4,4
3841,4,5
3851,4,6
3861,6,5
3871,6,8
3881,5,5
3891,4,5
3901,3,5
3911,3,6
3921,5,4
3931,6,4
3941,4,4
3951,4,5
3961,5,5
3971,5,6
3981,5,5
3991,6,6
4001,4,6
4011,4,6
4021,4,5
4031,5,6
4041,3,5
4051,5,5
4061,4,6
4071,4,5
4081,5,5
4091,5,4
4101,6,5
4111,5,5
4121,4,7
4131,4,6
4141,4,6
4151,4,7
4161,5,5
4171,5,4
4181,4,5
4191,3,4
4201,5,7
4211,6,5
4221,4,4
4231,4,6
4241,4,7
4251,4,6
4261,6,5
4271,4,5
4281,4,5
4291,10,7
4301,7,7
4311,5,6
4321,4,6
4331,4,7
4341,4,5
4351,5,6
4361,5,5
4371,4,5
4381,4,6
4391,5,5
4401,3,5
4411,4,4
4421,4,6
4431,4,6
4441,5,5
4451,4,5
4461,4,4
4471,4,6
