,dimensiones,subpoblaciones,tiempo_exec
0,4,2,7
1,4,3,6
2,4,4,6
3,5,2,6
4,5,3,4
5,5,4,4
6,5,5,3
7,6,2,4
8,6,3,2
9,6,4,3
10,6,5,3
11,6,6,3
12,7,2,3
13,7,3,3
14,7,4,3
15,7,5,3
16,7,6,5
17,7,7,6
18,8,2,3
19,8,4,5
20,8,6,4
21,8,8,5
22,9,2,4
23,9,4,2
24,9,6,4
25,9,8,5
26,10,2,3
27,10,4,3
28,10,6,3
29,10,8,4
30,10,10,3
31,11,2,3
32,11,4,3
33,11,6,3
34,11,8,3
35,11,10,3
36,12,2,3
37,12,5,3
38,12,8,6
39,12,11,3
40,13,2,5
41,13,5,3
42,13,8,4
43,13,11,4
44,14,2,4
45,14,5,4
46,14,8,4
47,14,11,4
48,14,14,4
49,15,2,3
50,15,5,5
51,15,8,4
52,15,11,4
53,15,14,4
54,16,2,4
55,16,6,3
56,16,10,4
57,16,14,3
58,17,2,4
59,17,6,3
60,17,10,3
61,17,14,3
62,18,2,3
63,18,6,3
64,18,10,3
65,18,14,3
66,18,18,3
67,19,2,3
68,19,6,3
69,19,10,3
70,19,14,4
71,19,18,3
72,20,2,3
73,20,7,3
74,20,12,3
75,20,17,3
76,21,2,2
77,21,7,2
78,21,12,3
79,21,17,3
80,22,2,3
81,22,7,7
82,22,12,7
83,22,17,5
84,22,22,3
85,23,2,3
86,23,7,4
87,23,12,3
88,23,17,4
89,23,22,3
90,24,2,3
91,24,8,3
92,24,14,3
93,24,20,4
94,25,2,3
95,25,8,3
96,25,14,4
97,25,20,6
98,26,2,5
99,26,8,5
100,26,14,5
101,26,20,4
102,26,26,5
103,27,2,3
104,27,8,3
105,27,14,4
106,27,20,4
107,27,26,3
108,28,2,4
109,28,9,3
110,28,16,5
111,28,23,3
112,29,2,3
113,29,9,3
114,29,16,4
115,29,23,4
116,30,2,6
117,30,9,7
118,30,16,6
119,30,23,8
120,30,30,4
121,31,2,7
122,31,9,4
123,31,16,4
124,31,23,3
125,31,30,4
126,32,2,5
127,32,10,7
128,32,18,7
129,32,26,5
130,33,2,3
131,33,10,4
132,33,18,7
133,33,26,5
134,34,2,3
135,34,10,3
136,34,18,4
137,34,26,9
138,34,34,4
139,35,2,4
140,35,10,4
141,35,18,5
142,35,26,4
143,35,34,7
144,36,2,5
145,36,11,5
146,36,20,4
147,36,29,5
148,37,2,3
149,37,11,4
150,37,20,8
151,37,29,5
152,38,2,3
153,38,11,4
154,38,20,6
155,38,29,5
156,38,38,4
157,39,2,3
158,39,11,4
159,39,20,4
160,39,29,5
161,39,38,5
162,40,2,9
163,40,12,5
164,40,22,6
165,40,32,5
166,41,2,4
167,41,12,4
168,41,22,4
169,41,32,6
170,42,2,3
171,42,12,4
172,42,22,4
173,42,32,5
174,42,42,7
175,43,2,3
176,43,12,8
177,43,22,5
178,43,32,5
179,43,42,5
180,44,2,3
181,44,13,4
182,44,24,4
183,44,35,5
184,45,2,3
185,45,13,3
186,45,24,5
187,45,35,5
188,46,2,7
189,46,13,9
190,46,24,7
191,46,35,5
192,46,46,6
193,47,2,3
194,47,13,4
195,47,24,5
196,47,35,6
197,47,46,6
198,48,2,6
199,48,14,7
200,48,26,6
201,48,38,6
202,49,2,5
203,49,14,4
204,49,26,5
205,49,38,6
206,50,2,5
207,50,14,6
208,50,26,12
209,50,38,14
210,50,50,16
211,51,2,6
212,51,14,5
213,51,26,6
214,51,38,6
215,51,50,6
216,52,2,4
217,52,15,6
218,52,28,7
219,52,41,6
220,53,2,4
221,53,15,5
222,53,28,5
223,53,41,6
224,54,2,4
225,54,15,6
226,54,28,6
227,54,41,6
228,54,54,7
229,55,2,3
230,55,15,4
231,55,28,6
232,55,41,6
233,55,54,7
234,56,2,4
235,56,16,6
236,56,30,6
237,56,44,7
238,57,2,4
239,57,16,4
240,57,30,6
241,57,44,7
242,58,2,4
243,58,16,4
244,58,30,13
245,58,44,7
246,58,58,19
247,59,2,6
248,59,16,5
249,59,30,7
250,59,44,8
251,59,58,19
252,60,2,5
253,60,17,8
254,60,32,8
255,60,47,8
256,61,2,3
257,61,17,5
258,61,32,8
259,61,47,8
260,62,2,3
261,62,17,4
262,62,32,15
263,62,47,11
264,62,62,20
265,63,2,4
266,63,17,5
267,63,32,9
268,63,47,10
269,63,62,9
270,64,2,5
271,64,18,7
272,64,34,7
273,64,50,15
274,65,2,4
275,65,18,5
276,65,34,7
277,65,50,10
278,66,2,6
279,66,18,6
280,66,34,8
281,66,50,9
282,66,66,10
283,67,2,4
284,67,18,9
285,67,34,12
286,67,50,11
287,67,66,27
288,68,2,7
289,68,19,12
290,68,36,18
291,68,53,14
292,69,2,9
293,69,19,12
294,69,36,19
295,69,53,25
296,70,2,7
297,70,19,7
298,70,36,9
299,70,53,19
300,70,70,16
301,71,2,4
302,71,19,6
303,71,36,8
304,71,53,25
305,71,70,16
306,72,2,4
307,72,20,5
308,72,38,9
309,72,56,10
310,73,2,8
311,73,20,8
312,73,38,13
313,73,56,11
314,74,2,4
315,74,20,14
316,74,38,9
317,74,56,13
318,74,74,13
319,75,2,5
320,75,20,5
321,75,38,9
322,75,56,12
323,75,74,14
324,76,2,10
325,76,21,10
326,76,40,9
327,76,59,13
328,77,2,6
329,77,21,10
330,77,40,10
331,77,59,23
332,78,2,6
333,78,21,6
334,78,40,10
335,78,59,18
336,78,78,24
337,79,2,6
338,79,21,7
339,79,40,10
340,79,59,21
341,79,78,18
342,80,2,6
343,80,22,10
344,80,42,10
345,80,62,17
346,81,2,12
347,81,22,6
348,81,42,15
349,81,62,35
350,82,2,13
351,82,22,13
352,82,42,14
353,82,62,16
354,82,82,18
355,83,2,6
356,83,22,10
357,83,42,12
358,83,62,14
359,83,82,22
360,84,2,6
361,84,23,10
362,84,44,15
363,84,65,25
364,85,2,9
365,85,23,11
366,85,44,13
367,85,65,16
368,86,2,4
369,86,23,7
370,86,44,11
371,86,65,16
372,86,86,39
373,87,2,4
374,87,23,13
375,87,44,26
376,87,65,24
377,87,86,37
378,88,2,5
379,88,24,16
380,88,46,12
381,88,68,17
382,89,2,8
383,89,24,8
384,89,46,15
385,89,68,30
386,90,2,9
387,90,24,8
388,90,46,32
389,90,68,21
390,90,90,21
391,91,2,5
392,91,24,18
393,91,46,31
394,91,68,33
395,91,90,48
